Event name,Venue,Event URL,Number of guests attending
Keep Hush presents Turbofest: all day and all night,The Cause,https://ra.co/events/2126052,2266
All Day I Dream of London Love,Studio 338,https://ra.co/events/2134473,1410
Don Woezik Invites 6EJOU & Rebekah,E1,https://ra.co/events/2123227,1306
Yaeji - EartH Hackney ,EartH,https://ra.co/events/2160356,1029
"fabric: Sama' Abdulhadi pres Resilience: Dave Clarke, Nene H, CEM, Steve Rachmad + more",fabric,https://ra.co/events/2140347,1266
"Origins: Love Remain, Tarzsa, Madelic + more",Corsica Studios,https://ra.co/events/2086868,1105
KOKO Electronic: Dennis Ferrer,KOKO,https://ra.co/events/2114796,1130
Labyrinth presents: Antdot extended set,Night Tales,https://ra.co/events/2143564,724
A LOVE FROM OUTER SPACE (Spring Edition),Phonox,https://ra.co/events/2123051,627
Faith Boat Party,The Dutch Master,https://ra.co/events/2070380,563
"tm8.club ★ Mama Snake, Mohajer, Sevyn0000, S3BA, Fillo Deportaberta & olesia",FOLD,https://ra.co/events/2131121,595
A Day with Michael Gray,Night Tales,https://ra.co/events/2150070,507
"Egg Pres: Beezo, Wigman, Petchy, JAYDAA",Egg London,https://ra.co/events/2159349,430
Jeremy Olander (All Day Long),Phonox,https://ra.co/events/2130691,435
Echonomist & Sainte Vie,26 Leake Street,https://ra.co/events/2143500,500
"Redfreya & Friends w/ Super Flu, Marcus Worgull",Between The Bridges,https://ra.co/events/2109319,365
The Disco Express — Summer Day & Night Party,Metropolis,https://ra.co/events/2133449,358
Young Franco + Friends,Colour Factory,https://ra.co/events/2100429,322
"A2J INVITES TIPPING POINT - ATRIC b2b Frida Darko, Urem, FLAVE (live), Sahra Bass",NUMBER 90 LONDON,https://ra.co/events/2115971,266
RedRoom Underground x House Warming,Brixton Storeys,https://ra.co/events/2143708,297
NAVA LDN - 'The Last Dance',Peckham Audio,https://ra.co/events/2152816,237
Slimelight,Electrowerkz,https://ra.co/events/2160517,227
The South London Soul Train 14 Year Anniversary w/Fat Brass Live - More on 2 floors,CLF Art Lounge & Roof Garden,https://ra.co/events/2128810,183
Soul City: House Music Every Saturday Night,The Jazz Cafe,https://ra.co/events/2069678,345
Stimming (Live),Corsica Studios,https://ra.co/events/2108513,140
Lion & Lamb with Huerta (All Night Long),The Lion and Lamb,https://ra.co/events/2156192,167
Abyss W/ Reflex Blue & Wax Material,E1,https://ra.co/events/2162477,141
"Club Hiatus x Nein, Day & Night: Zombies In Miami",The Glove That Fits,https://ra.co/events/2115803,138
"Club Metropolis: Day & Night Party (House, Disco & Dirty Pop - Sat 31st May)",Metropolis,https://ra.co/events/2069832,201
"Jeremy Sylvester, Lady Passion, Bear Winder, Post Cap Era, Onyx Stone, Fevasoul, Special Guest",Bricks,https://ra.co/events/2105297,88
Aroop Roy [All Night Long] - Five Saturdays at NT's Loft,Night Tales Loft,https://ra.co/events/2118387,153
Dansu Discs: Josh Butler b2b THEOS b2b Chesster,XOYO,https://ra.co/events/2097451,49
"Future Disco: Roger Sanchez, GIDEÖN, SUGARLOAF + more",Ministry Of Sound,https://ra.co/events/2087473,53
Remember Them Days: Summer Day Party with Crazy Cousinz & Friends,Brixton Jamm,https://ra.co/events/2159067,35
"Pleasureroom Records with Red Pig Flower, Celestra, Daniel Sehnawi, LUUD b2b Dalbert, MYRIAM ",TBA - East London Location,https://ra.co/events/2176170,43
So Fresh So Clean at 77 Welbeck Street,"TBA - 77 Welbeck Street, W1",https://ra.co/events/2180715,51
Beyond AS ONE IN IN THE PARK PRE PARTY + Guapo After Party,Fire,https://ra.co/events/2152473,17
VIVA Reggaeton v.s. Afrobeats,Lightbox,https://ra.co/events/2181081,18
Tola presents: Ben Hauke b2b Lily London,Tola,https://ra.co/events/2162687,19
VIVA Baile,Lightbox,https://ra.co/events/2181083,16
Latin Jazz Brunch Live with Orquesta Mambarito (Live) + DJ John Armstrong,CLF Art Lounge & Roof Garden,https://ra.co/events/2134031,3
Ben Gomori & Anomalous DJ,Cafe 1001,https://ra.co/events/2174919,11
Studio56: Larry Plays Records b2b Ed From Balham,Tola,https://ra.co/events/2179104,3
A:M After Hours // Free Entry Tickets,Fire,https://ra.co/events/2155960,2
test,TBA,https://ra.co/events/2177742,1
House & Disco at Jamm,Brixton Jamm,https://ra.co/events/2183608,1
"Club Classics: Dirty Pop, Every Saturday Night",Metropolis,https://ra.co/events/2113386,16
BROADCITE 'Back 2 Back' SUMMER party!,"TBA - Brixton, Department Store",https://ra.co/events/2170714,0
Saturday Service free Summer party,The Horse & Groom,https://ra.co/events/2180568,0
Stripped Back Sounds: FREE DAY PARTY W/ James Andrew b2b Loren & Kearun,Crate Brewery,https://ra.co/events/2145522,1443
2CPERREA PRESENTS LA 3ERA PUTIVUELTA,NUMBER 90 LONDON,https://ra.co/events/2151163,599
SHIBUI 3rd Birthday at No90 Bar *FREE ENTRY*,NUMBER 90 LONDON,https://ra.co/events/2123245,628
Balliamo's Summer Boat Party [The Deep Blue Disco IV],TBA - The Pearl of London - Westminster Pier,https://ra.co/events/2129422,275
Gallery presents: Nic Fanciulli,Gallery,https://ra.co/events/2129597,339
Quantum Sounds Amapiano & Afro House Day Party,Nico's Bar at Hackney Bridge,https://ra.co/events/2162086,259
makaan مکان  - 9  [ FOLD - STEAM ROOM ],FOLD,https://ra.co/events/2150275,228
Raindance at fabric 2025,fabric,https://ra.co/events/2064604,204
